rank,nickname,score,guild,date,boss_order,boss_level
1,이글루,1389600,BBO-B,20260117,1,22
2,Cat2253546,1122654,BBO-B,20260117,1,22
3,지노링,910980,BBO-B,20260117,1,22
4,세제곱,909450,BBO-B,20260117,1,22
5,악마의천벌,905080,BBO-B,20260117,1,22
6,이뮤기,893621,BBO-B,20260117,1,22
7,인천불기둥,701040,BBO-B,20260117,1,22
8,안녕하세얌,522666,BBO-B,20260117,1,22
9,Moiri,522450,BBO-B,20260117,1,22
10,LMozzi,504431,BBO-B,20260117,1,22
11,설퐁,500910,BBO-B,20260117,1,22
12,당직장어,461513,BBO-B,20260117,1,22
13,뽀시뽀시,451376,BBO-B,20260117,1,22
14,강철누비,308432,BBO-B,20260117,1,22
15,병냥이,290607,BBO-B,20260117,1,22
1,Moiri,629370,BBO-B,20260117,2,34
2,세제곱,602000,BBO-B,20260117,2,34
3,Cat2253546,516958,BBO-B,20260117,2,34
4,악마의천벌,351260,BBO-B,20260117,2,34
5,LMozzi,347665,BBO-B,20260117,2,34
6,인천불기둥,336720,BBO-B,20260117,2,34
7,설퐁,332760,BBO-B,20260117,2,34
8,당직장어,307584,BBO-B,20260117,2,34
9,안녕하세얌,301920,BBO-B,20260117,2,34
10,이뮤기,301070,BBO-B,20260117,2,34
11,뽀시뽀시,292566,BBO-B,20260117,2,34
12,강철누비,190525,BBO-B,20260117,2,34
13,병냥이,135583,BBO-B,20260117,2,34
14,이글루,14100,BBO-B,20260117,2,34
15,지노링,12050,BBO-B,20260117,2,34
1,당직장어,309961,BBO-B,20260117,3,34
2,설퐁,300900,BBO-B,20260117,3,34
3,뽀시뽀시,297662,BBO-B,20260117,3,34
4,LMozzi,290250,BBO-B,20260117,3,34
5,강철누비,192926,BBO-B,20260117,3,34
6,병냥이,141790,BBO-B,20260117,3,34
7,Moiri,24300,BBO-B,20260117,3,34
8,지노링,19280,BBO-B,20260117,3,34
9,Cat2253546,14800,BBO-B,20260117,3,34
10,세제곱,12900,BBO-B,20260117,3,34
11,이글루,11480,BBO-B,20260117,3,34
12,인천불기둥,11040,BBO-B,20260117,3,34
13,악마의천벌,1930,BBO-B,20260117,3,34
1,지노링,1006023,BBO-B,20260117,4,37
2,이글루,903090,BBO-B,20260117,4,37
3,이뮤기,701250,BBO-B,20260117,4,37
4,악마의천벌,587287,BBO-B,20260117,4,37
5,설퐁,561432,BBO-B,20260117,4,37
6,Cat2253546,506900,BBO-B,20260117,4,37
7,세제곱,500950,BBO-B,20260117,4,37
8,인천불기둥,401120,BBO-B,20260117,4,37
9,안녕하세얌,338936,BBO-B,20260117,4,37
10,뽀시뽀시,305878,BBO-B,20260117,4,37
11,LMozzi,283808,BBO-B,20260117,4,37
12,당직장어,279964,BBO-B,20260117,4,37
13,강철누비,202700,BBO-B,20260117,4,37
14,병냥이,131123,BBO-B,20260117,4,37
